"","value"
"1572",""
"1573","“Blamed if I would, Jim.”"
"1574",""
"1575","“Well, I b’lieve you, Huck. I—I _run off_.”"
"1576",""
"1577","“Jim!”"
"1578",""
"1579","“But mind, you said you wouldn’ tell—you know you said you wouldn’"
"1580","tell, Huck.”"
"1581",""
"1582","“Well, I did. I said I wouldn’t, and I’ll stick to it. Honest _injun_,"
"1583","I will. People would call me a low-down Abolitionist and despise me for"
"1584","keeping mum—but that don’t make no difference. I ain’t a-going to tell,"
"1585","and I ain’t a-going back there, anyways. So, now, le’s know all about"
"1586","it.”"
"1587",""
"1588","“Well, you see, it ’uz dis way. Ole missus—dat’s Miss Watson—she pecks"
"1589","on me all de time, en treats me pooty rough, but she awluz said she"
"1590","wouldn’ sell me down to Orleans. But I noticed dey wuz a nigger trader"
"1591","roun’ de place considable lately, en I begin to git oneasy. Well, one"
"1592","night I creeps to de do’ pooty late, en de do’ warn’t quite shet, en I"
"1593","hear old missus tell de widder she gwyne to sell me down to Orleans,"
"1594","but she didn’ want to, but she could git eight hund’d dollars for me,"
"1595","en it ’uz sich a big stack o’ money she couldn’ resis’. De widder she"
"1596","try to git her to say she wouldn’ do it, but I never waited to hear de"
"1597","res’. I lit out mighty quick, I tell you."
"1598",""
"1599","“I tuck out en shin down de hill, en ’spec to steal a skift ’long de"
"1600","sho’ som’ers ’bove de town, but dey wuz people a-stirring yit, so I hid"
"1601","in de ole tumble-down cooper-shop on de bank to wait for everybody to"
"1602","go ’way. Well, I wuz dah all night. Dey wuz somebody roun’ all de time."
"1603","’Long ’bout six in de mawnin’ skifts begin to go by, en ’bout eight er"
"1604","nine every skift dat went ’long wuz talkin’ ’bout how yo’ pap come over"
"1605","to de town en say you’s killed. Dese las’ skifts wuz full o’ ladies en"
"1606","genlmen a-goin’ over for to see de place. Sometimes dey’d pull up at de"
"1607","sho’ en take a res’ b’fo’ dey started acrost, so by de talk I got to"
"1608","know all ’bout de killin’. I ’uz powerful sorry you’s killed, Huck, but"
"1609","I ain’t no mo’ now."
"1610",""
"1611","“I laid dah under de shavin’s all day. I ’uz hungry, but I warn’t"
"1612","afeard; bekase I knowed ole missus en de widder wuz goin’ to start to"
"1613","de camp-meet’n’ right arter breakfas’ en be gone all day, en dey knows"
"1614","I goes off wid de cattle ’bout daylight, so dey wouldn’ ’spec to see me"
"1615","roun’ de place, en so dey wouldn’ miss me tell arter dark in de"
"1616","evenin’. De yuther servants wouldn’ miss me, kase dey’d shin out en"
"1617","take holiday soon as de ole folks ’uz out’n de way."
"1618",""
"1619","“Well, when it come dark I tuck out up de river road, en went ’bout two"
"1620","mile er more to whah dey warn’t no houses. I’d made up my mine ’bout"
"1621","what I’s agwyne to do. You see, ef I kep’ on tryin’ to git away afoot,"
"1622","de dogs ’ud track me; ef I stole a skift to cross over, dey’d miss dat"
"1623","skift, you see, en dey’d know ’bout whah I’d lan’ on de yuther side, en"
"1624","whah to pick up my track. So I says, a raff is what I’s arter; it doan’"
"1625","_make_ no track."
"1626",""
"1627","“I see a light a-comin’ roun’ de p’int bymeby, so I wade’ in en shove’"
"1628","a log ahead o’ me en swum more’n half way acrost de river, en got in"
"1629","’mongst de drift-wood, en kep’ my head down low, en kinder swum agin de"
"1630","current tell de raff come along. Den I swum to de stern uv it en tuck"
"1631","a-holt. It clouded up en ’uz pooty dark for a little while. So I clumb"
"1632","up en laid down on de planks. De men ’uz all ’way yonder in de middle,"
"1633","whah de lantern wuz. De river wuz a-risin’, en dey wuz a good current;"
"1634","so I reck’n’d ’at by fo’ in de mawnin’ I’d be twenty-five mile down de"
"1635","river, en den I’d slip in jis b’fo’ daylight en swim asho’, en take to"
"1636","de woods on de Illinois side."
"1637",""
"1638","“But I didn’ have no luck. When we ’uz mos’ down to de head er de"
"1639","islan’ a man begin to come aft wid de lantern, I see it warn’t no use"
"1640","fer to wait, so I slid overboard en struck out fer de islan’. Well, I"
"1641","had a notion I could lan’ mos’ anywhers, but I couldn’t—bank too bluff."
"1642","I ’uz mos’ to de foot er de islan’ b’fo’ I found’ a good place. I went"
"1643","into de woods en jedged I wouldn’ fool wid raffs no mo’, long as dey"
"1644","move de lantern roun’ so. I had my pipe en a plug er dog-leg, en some"
"1645","matches in my cap, en dey warn’t wet, so I ’uz all right.”"
"1646",""
"1647","“And so you ain’t had no meat nor bread to eat all this time? Why"
"1648","didn’t you get mud-turkles?”"
"1649",""
"1650","“How you gwyne to git ’m? You can’t slip up on um en grab um; en how’s"
"1651","a body gwyne to hit um wid a rock? How could a body do it in de night?"
"1652","En I warn’t gwyne to show mysef on de bank in de daytime.”"
"1653",""
"1654","“Well, that’s so. You’ve had to keep in the woods all the time, of"
"1655","course. Did you hear ’em shooting the cannon?”"
"1656",""
"1657","“Oh, yes. I knowed dey was arter you. I see um go by heah—watched um"
"1658","thoo de bushes.”"
"1659",""
"1660","Some young birds come along, flying a yard or two at a time and"
"1661","lighting. Jim said it was a sign it was going to rain. He said it was a"
"1662","sign when young chickens flew that way, and so he reckoned it was the"
"1663","same way when young birds done it. I was going to catch some of them,"
"1664","but Jim wouldn’t let me. He said it was death. He said his father laid"
"1665","mighty sick once, and some of them catched a bird, and his old granny"
"1666","said his father would die, and he did."
"1667",""
"1668","And Jim said you mustn’t count the things you are going to cook for"
"1669","dinner, because that would bring bad luck. The same if you shook the"
"1670","table-cloth after sundown. And he said if a man owned a beehive and"
"1671","that man died, the bees must be told about it before sun-up next"
"1672","morning, or else the bees would all weaken down and quit work and die."
"1673","Jim said bees wouldn’t sting idiots; but I didn’t believe that, because"
"1674","I had tried them lots of times myself, and they wouldn’t sting me."
"1675",""
"1676","I had heard about some of these things before, but not all of them. Jim"
"1677","knowed all kinds of signs. He said he knowed most everything. I said it"
"1678","looked to me like all the signs was about bad luck, and so I asked him"
"1679","if there warn’t any good-luck signs. He says:"
"1680",""
"1681","“Mighty few—an’ _dey_ ain’t no use to a body. What you want to know"
"1682","when good luck’s a-comin’ for? Want to keep it off?” And he said: “Ef"
"1683","you’s got hairy arms en a hairy breas’, it’s a sign dat you’s agwyne to"
"1684","be rich. Well, dey’s some use in a sign like dat, ’kase it’s so fur"
"1685","ahead. You see, maybe you’s got to be po’ a long time fust, en so you"
"1686","might git discourage’ en kill yo’sef ’f you didn’ know by de sign dat"
"1687","you gwyne to be rich bymeby.”"
"1688",""
"1689","“Have you got hairy arms and a hairy breast, Jim?”"
"1690",""
"1691","“What’s de use to ax dat question? Don’t you see I has?”"
"1692",""
"1693","“Well, are you rich?”"
"1694",""
"1695","“No, but I ben rich wunst, and gwyne to be rich agin. Wunst I had"
"1696","foteen dollars, but I tuck to specalat’n’, en got busted out.”"
"1697",""
"1698","“What did you speculate in, Jim?”"
"1699",""
"1700","“Well, fust I tackled stock.”"
"1701",""
"1702","“What kind of stock?”"
"1703",""
"1704","“Why, live stock—cattle, you know. I put ten dollars in a cow. But I"
"1705","ain’ gwyne to resk no mo’ money in stock. De cow up ’n’ died on my"
"1706","han’s.”"
"1707",""
"1708","“So you lost the ten dollars.”"
"1709",""
"1710","“No, I didn’t lose it all. I on’y los’ ’bout nine of it. I sole de hide"
"1711","en taller for a dollar en ten cents.”"
"1712",""
"1713","“You had five dollars and ten cents left. Did you speculate any more?”"
"1714",""
"1715","“Yes. You know that one-laigged nigger dat b’longs to old Misto"
"1716","Bradish? Well, he sot up a bank, en say anybody dat put in a dollar"
"1717","would git fo’ dollars mo’ at de en’ er de year. Well, all de niggers"
"1718","went in, but dey didn’t have much. I wuz de on’y one dat had much. So I"
"1719","stuck out for mo’ dan fo’ dollars, en I said ’f I didn’ git it I’d"
"1720","start a bank mysef. Well, o’ course dat nigger want’ to keep me out er"
"1721","de business, bekase he says dey warn’t business ’nough for two banks,"
"1722","so he say I could put in my five dollars en he pay me thirty-five at de"
"1723","en’ er de year."
"1724",""
"1725","“So I done it. Den I reck’n’d I’d inves’ de thirty-five dollars right"
"1726","off en keep things a-movin’. Dey wuz a nigger name’ Bob, dat had"
"1727","ketched a wood-flat, en his marster didn’ know it; en I bought it off’n"
"1728","him en told him to take de thirty-five dollars when de en’ er de year"
"1729","come; but somebody stole de wood-flat dat night, en nex day de"
"1730","one-laigged nigger say de bank’s busted. So dey didn’ none uv us git no"
"1731","money.”"
"1732",""
"1733","“What did you do with the ten cents, Jim?”"
"1734",""
"1735","“Well, I ’uz gwyne to spen’ it, but I had a dream, en de dream tole me"
"1736","to give it to a nigger name’ Balum—Balum’s Ass dey call him for short;"
"1737","he’s one er dem chuckleheads, you know. But he’s lucky, dey say, en I"
"1738","see I warn’t lucky. De dream say let Balum inves’ de ten cents en he’d"
"1739","make a raise for me. Well, Balum he tuck de money, en when he wuz in"
"1740","church he hear de preacher say dat whoever give to de po’ len’ to de"
"1741","Lord, en boun’ to git his money back a hund’d times. So Balum he tuck"
"1742","en give de ten cents to de po’, en laid low to see what wuz gwyne to"
"1743","come of it.”"
"1744",""
"1745","“Well, what did come of it, Jim?”"
"1746",""
"1747","“Nuffn never come of it. I couldn’ manage to k’leck dat money no way;"
"1748","en Balum he couldn’. I ain’ gwyne to len’ no mo’ money ’dout I see de"
"1749","security. Boun’ to git yo’ money back a hund’d times, de preacher says!"
"1750","Ef I could git de ten _cents_ back, I’d call it squah, en be glad er de"
"1751","chanst.”"
"1752",""
"1753","“Well, it’s all right anyway, Jim, long as you’re going to be rich"
"1754","again some time or other.”"
"1755",""
"1756","“Yes; en I’s rich now, come to look at it. I owns mysef, en I’s wuth"
"1757","eight hund’d dollars. I wisht I had de money, I wouldn’ want no mo’.”"
"1758",""
"1759",""
"1760",""
"1761",""
"1762","CHAPTER IX."
"1763",""
"1764",""
"1765","I wanted to go and look at a place right about the middle of the island"
"1766","that I’d found when I was exploring; so we started and soon got to it,"
"1767","because the island was only three miles long and a quarter of a mile"
"1768","wide."
"1769",""
"1770","This place was a tolerable long, steep hill or ridge about forty foot"
"1771","high. We had a rough time getting to the top, the sides was so steep"
"1772","and the bushes so thick. We tramped and clumb around all over it, and"
"1773","by-and-by found a good big cavern in the rock, most up to the top on"
"1774","the side towards Illinois. The cavern was as big as two or three rooms"
"1775","bunched together, and Jim could stand up straight in it. It was cool in"
"1776","there. Jim was for putting our traps in there right away, but I said we"
"1777","didn’t want to be climbing up and down there all the time."
"1778",""
"1779","Jim said if we had the canoe hid in a good place, and had all the traps"
"1780","in the cavern, we could rush there if anybody was to come to the"
"1781","island, and they would never find us without dogs. And, besides, he"
"1782","said them little birds had said it was going to rain, and did I want"
"1783","the things to get wet?"
"1784",""
"1785","So we went back and got the canoe, and paddled up abreast the cavern,"
"1786","and lugged all the traps up there. Then we hunted up a place close by"
"1787","to hide the canoe in, amongst the thick willows. We took some fish off"
"1788","of the lines and set them again, and begun to get ready for dinner."
"1789",""
"1790","The door of the cavern was big enough to roll a hogshead in, and on one"
"1791","side of the door the floor stuck out a little bit, and was flat and a"
"1792","good place to build a fire on. So we built it there and cooked dinner."
"1793",""
"1794","We spread the blankets inside for a carpet, and eat our dinner in"
"1795","there. We put all the other things handy at the back of the cavern."
"1796","Pretty soon it darkened up, and begun to thunder and lighten; so the"
"1797","birds was right about it. Directly it begun to rain, and it rained like"
"1798","all fury, too, and I never see the wind blow so. It was one of these"
"1799","regular summer storms. It would get so dark that it looked all"
"1800","blue-black outside, and lovely; and the rain would thrash along by so"
"1801","thick that the trees off a little ways looked dim and spider-webby; and"
"1802","here would come a blast of wind that would bend the trees down and turn"
"1803","up the pale underside of the leaves; and then a perfect ripper of a"
"1804","gust would follow along and set the branches to tossing their arms as"
"1805","if they was just wild; and next, when it was just about the bluest and"
"1806","blackest—_fst!_ it was as bright as glory, and you’d have a little"
"1807","glimpse of tree-tops a-plunging about away off yonder in the storm,"
"1808","hundreds of yards further than you could see before; dark as sin again"
"1809","in a second, and now you’d hear the thunder let go with an awful crash,"
"1810","and then go rumbling, grumbling, tumbling, down the sky towards the"
"1811","under side of the world, like rolling empty barrels down stairs—where"
"1812","it’s long stairs and they bounce a good deal, you know."
"1813",""
"1814","“Jim, this is nice,” I says. “I wouldn’t want to be nowhere else but"
"1815","here. Pass me along another hunk of fish and some hot corn-bread.”"
"1816",""
"1817","“Well, you wouldn’t a ben here ’f it hadn’t a ben for Jim. You’d a ben"
"1818","down dah in de woods widout any dinner, en gittn’ mos’ drownded, too;"
"1819","dat you would, honey. Chickens knows when it’s gwyne to rain, en so do"
"1820","de birds, chile.”"
"1821",""
"1822","The river went on raising and raising for ten or twelve days, till at"
"1823","last it was over the banks. The water was three or four foot deep on"
"1824","the island in the low places and on the Illinois bottom. On that side"
"1825","it was a good many miles wide, but on the Missouri side it was the same"
"1826","old distance across—a half a mile—because the Missouri shore was just a"
"1827","wall of high bluffs."
"1828",""
"1829","Daytimes we paddled all over the island in the canoe, It was mighty"
"1830","cool and shady in the deep woods, even if the sun was blazing outside."
"1831","We went winding in and out amongst the trees, and sometimes the vines"
"1832","hung so thick we had to back away and go some other way. Well, on every"
"1833","old broken-down tree you could see rabbits and snakes and such things;"
"1834","and when the island had been overflowed a day or two they got so tame,"
"1835","on account of being hungry, that you could paddle right up and put your"
"1836","hand on them if you wanted to; but not the snakes and turtles—they"
"1837","would slide off in the water. The ridge our cavern was in was full of"
"1838","them. We could a had pets enough if we’d wanted them."
"1839",""
"1840","One night we catched a little section of a lumber raft—nice pine"
"1841","planks. It was twelve foot wide and about fifteen or sixteen foot long,"
"1842","and the top stood above water six or seven inches—a solid, level floor."
"1843","We could see saw-logs go by in the daylight sometimes, but we let them"
"1844","go; we didn’t show ourselves in daylight."
"1845",""
"1846","Another night when we was up at the head of the island, just before"
"1847","daylight, here comes a frame-house down, on the west side. She was a"
"1848","two-story, and tilted over considerable. We paddled out and got"
"1849","aboard—clumb in at an upstairs window. But it was too dark to see yet,"
"1850","so we made the canoe fast and set in her to wait for daylight."
"1851",""
"1852","The light begun to come before we got to the foot of the island. Then"
"1853","we looked in at the window. We could make out a bed, and a table, and"
"1854","two old chairs, and lots of things around about on the floor, and there"
"1855","was clothes hanging against the wall. There was something laying on the"
"1856","floor in the far corner that looked like a man. So Jim says:"
"1857",""
"1858","“Hello, you!”"
"1859",""
"1860","But it didn’t budge. So I hollered again, and then Jim says:"
"1861",""
"1862","“De man ain’t asleep—he’s dead. You hold still—I’ll go en see.”"
"1863",""
"1864","He went, and bent down and looked, and says:"
"1865",""
"1866","“It’s a dead man. Yes, indeedy; naked, too. He’s ben shot in de back. I"
"1867","reck’n he’s ben dead two er three days. Come in, Huck, but doan’ look"
"1868","at his face—it’s too gashly.”"
"1869",""
"1870","I didn’t look at him at all. Jim throwed some old rags over him, but he"
"1871","needn’t done it; I didn’t want to see him. There was heaps of old"
"1872","greasy cards scattered around over the floor, and old whisky bottles,"
"1873","and a couple of masks made out of black cloth; and all over the walls"
"1874","was the ignorantest kind of words and pictures made with charcoal."
"1875","There was two old dirty calico dresses, and a sun-bonnet, and some"
"1876","women’s underclothes hanging against the wall, and some men’s clothing,"
"1877","too. We put the lot into the canoe—it might come good. There was a"
"1878","boy’s old speckled straw hat on the floor; I took that, too. And there"
"1879","was a bottle that had had milk in it, and it had a rag stopper for a"
"1880","baby to suck. We would a took the bottle, but it was broke. There was a"
"1881","seedy old chest, and an old hair trunk with the hinges broke. They"
"1882","stood open, but there warn’t nothing left in them that was any account."
"1883","The way things was scattered about we reckoned the people left in a"
"1884","hurry, and warn’t fixed so as to carry off most of their stuff."
"1885",""
"1886","We got an old tin lantern, and a butcher-knife without any handle, and"
"1887","a bran-new Barlow knife worth two bits in any store, and a lot of"
"1888","tallow candles, and a tin candlestick, and a gourd, and a tin cup, and"
"1889","a ratty old bedquilt off the bed, and a reticule with needles and pins"
"1890","and beeswax and buttons and thread and all such truck in it, and a"
"1891","hatchet and some nails, and a fishline as thick as my little finger"
"1892","with some monstrous hooks on it, and a roll of buckskin, and a leather"
"1893","dog-collar, and a horseshoe, and some vials of medicine that didn’t"
"1894","have no label on them; and just as we was leaving I found a tolerable"
"1895","good curry-comb, and Jim he found a ratty old fiddle-bow, and a wooden"
"1896","leg. The straps was broke off of it, but, barring that, it was a good"
"1897","enough leg, though it was too long for me and not long enough for Jim,"
"1898","and we couldn’t find the other one, though we hunted all around."
"1899",""
"1900","And so, take it all around, we made a good haul. When we was ready to"
"1901","shove off we was a quarter of a mile below the island, and it was"
"1902","pretty broad day; so I made Jim lay down in the canoe and cover up with"
"1903","the quilt, because if he set up people could tell he was a nigger a"
"1904","good ways off. I paddled over to the Illinois shore, and drifted down"
"1905","most a half a mile doing it. I crept up the dead water under the bank,"
"1906","and hadn’t no accidents and didn’t see nobody. We got home all safe."
"1907",""
"1908",""
"1909",""
"1910",""
"1911","CHAPTER X."
"1912",""
"1913",""
"1914","After breakfast I wanted to talk about the dead man and guess out how"
"1915","he come to be killed, but Jim didn’t want to. He said it would fetch"
"1916","bad luck; and besides, he said, he might come and ha’nt us; he said a"
"1917","man that warn’t buried was more likely to go a-ha’nting around than one"
"1918","that was planted and comfortable. That sounded pretty reasonable, so I"
"1919","didn’t say no more; but I couldn’t keep from studying over it and"
"1920","wishing I knowed who shot the man, and what they done it for."
"1921",""
"1922","We rummaged the clothes we’d got, and found eight dollars in silver"
"1923","sewed up in the lining of an old blanket overcoat. Jim said he reckoned"
"1924","the people in that house stole the coat, because if they’d a knowed the"
"1925","money was there they wouldn’t a left it. I said I reckoned they killed"
"1926","him, too; but Jim didn’t want to talk about that. I says:"
"1927",""
"1928","“Now you think it’s bad luck; but what did you say when I fetched in"
"1929","the snake-skin that I found on the top of the ridge day before"
"1930","yesterday? You said it was the worst bad luck in the world to touch a"
"1931","snake-skin with my hands. Well, here’s your bad luck! We’ve raked in"
"1932","all this truck and eight dollars besides. I wish we could have some bad"
"1933","luck like this every day, Jim.”"
"1934",""
"1935","“Never you mind, honey, never you mind. Don’t you git too peart. It’s"
"1936","a-comin’. Mind I tell you, it’s a-comin’.”"
"1937",""
"1938","It did come, too. It was a Tuesday that we had that talk. Well, after"
"1939","dinner Friday we was laying around in the grass at the upper end of the"
"1940","ridge, and got out of tobacco. I went to the cavern to get some, and"
"1941","found a rattlesnake in there. I killed him, and curled him up on the"
"1942","foot of Jim’s blanket, ever so natural, thinking there’d be some fun"
"1943","when Jim found him there. Well, by night I forgot all about the snake,"
"1944","and when Jim flung himself down on the blanket while I struck a light"
"1945","the snake’s mate was there, and bit him."
"1946",""
"1947","He jumped up yelling, and the first thing the light showed was the"
"1948","varmint curled up and ready for another spring. I laid him out in a"
"1949","second with a stick, and Jim grabbed pap’s whisky-jug and begun to pour"
"1950","it down."
"1951",""
"1952","He was barefooted, and the snake bit him right on the heel. That all"
"1953","comes of my being such a fool as to not remember that wherever you"
"1954","leave a dead snake its mate always comes there and curls around it. Jim"
"1955","told me to chop off the snake’s head and throw it away, and then skin"
"1956","the body and roast a piece of it. I done it, and he eat it and said it"
"1957","would help cure him. He made me take off the rattles and tie them"
"1958","around his wrist, too. He said that that would help. Then I slid out"
"1959","quiet and throwed the snakes clear away amongst the bushes; for I"
"1960","warn’t going to let Jim find out it was all my fault, not if I could"
"1961","help it."
"1962",""
"1963","Jim sucked and sucked at the jug, and now and then he got out of his"
"1964","head and pitched around and yelled; but every time he come to himself"
"1965","he went to sucking at the jug again. His foot swelled up pretty big,"
"1966","and so did his leg; but by-and-by the drunk begun to come, and so I"
"1967","judged he was all right; but I’d druther been bit with a snake than"
"1968","pap’s whisky."
"1969",""
"1970","Jim was laid up for four days and nights. Then the swelling was all"
"1971","gone and he was around again. I made up my mind I wouldn’t ever take"
"1972","a-holt of a snake-skin again with my hands, now that I see what had"
"1973","come of it. Jim said he reckoned I would believe him next time. And he"
"1974","said that handling a snake-skin was such awful bad luck that maybe we"
"1975","hadn’t got to the end of it yet. He said he druther see the new moon"
"1976","over his left shoulder as much as a thousand times than take up a"
"1977","snake-skin in his hand. Well, I was getting to feel that way myself,"
"1978","though I’ve always reckoned that looking at the new moon over your left"
"1979","shoulder is one of the carelessest and foolishest things a body can do."
"1980","Old Hank Bunker done it once, and bragged about it; and in less than"
"1981","two years he got drunk and fell off of the shot-tower, and spread"
"1982","himself out so that he was just a kind of a layer, as you may say; and"
"1983","they slid him edgeways between two barn doors for a coffin, and buried"
"1984","him so, so they say, but I didn’t see it. Pap told me. But anyway it"
"1985","all come of looking at the moon that way, like a fool."
"1986",""
"1987","Well, the days went along, and the river went down between its banks"
"1988","again; and about the first thing we done was to bait one of the big"
"1989","hooks with a skinned rabbit and set it and catch a catfish that was as"
"1990","big as a man, being six foot two inches long, and weighed over two"
"1991","hundred pounds. We couldn’t handle him, of course; he would a flung us"
"1992","into Illinois. We just set there and watched him rip and tear around"
"1993","till he drownded. We found a brass button in his stomach and a round"
"1994","ball, and lots of rubbage. We split the ball open with the hatchet, and"
"1995","there was a spool in it. Jim said he’d had it there a long time, to"
"1996","coat it over so and make a ball of it. It was as big a fish as was ever"
"1997","catched in the Mississippi, I reckon. Jim said he hadn’t ever seen a"
"1998","bigger one. He would a been worth a good deal over at the village. They"
"1999","peddle out such a fish as that by the pound in the market-house there;"
"2000","everybody buys some of him; his meat’s as white as snow and makes a"
"2001","good fry."
"2002",""
"2003","Next morning I said it was getting slow and dull, and I wanted to get a"
"2004","stirring up some way. I said I reckoned I would slip over the river and"
"2005","find out what was going on. Jim liked that notion; but he said I must"
"2006","go in the dark and look sharp. Then he studied it over and said,"
"2007","couldn’t I put on some of them old things and dress up like a girl?"
"2008","That was a good notion, too. So we shortened up one of the calico"
"2009","gowns, and I turned up my trouser-legs to my knees and got into it. Jim"
"2010","hitched it behind with the hooks, and it was a fair fit. I put on the"
"2011","sun-bonnet and tied it under my chin, and then for a body to look in"
"2012","and see my face was like looking down a joint of stove-pipe. Jim said"
"2013","nobody would know me, even in the daytime, hardly. I practiced around"
"2014","all day to get the hang of the things, and by-and-by I could do pretty"
"2015","well in them, only Jim said I didn’t walk like a girl; and he said I"
"2016","must quit pulling up my gown to get at my britches-pocket. I took"
"2017","notice, and done better."
"2018",""
"2019","I started up the Illinois shore in the canoe just after dark."
"2020",""
"2021","I started across to the town from a little below the ferry-landing, and"
"2022","the drift of the current fetched me in at the bottom of the town. I"
"2023","tied up and started along the bank. There was a light burning in a"
"2024","little shanty that hadn’t been lived in for a long time, and I wondered"
"2025","who had took up quarters there. I slipped up and peeped in at the"
"2026","window. There was a woman about forty year old in there knitting by a"
"2027","candle that was on a pine table. I didn’t know her face; she was a"
"2028","stranger, for you couldn’t start a face in that town that I didn’t"
"2029","know. Now this was lucky, because I was weakening; I was getting afraid"
"2030","I had come; people might know my voice and find me out. But if this"
"2031","woman had been in such a little town two days she could tell me all I"
"2032","wanted to know; so I knocked at the door, and made up my mind I"
"2033","wouldn’t forget I was a girl."
"2034",""
"2035",""
"2036",""
"2037",""
"2038","CHAPTER XI."
"2039",""
"2040",""
"2041","“Come in,” says the woman, and I did. She says: “Take a cheer.”"
"2042",""
"2043","I done it. She looked me all over with her little shiny eyes, and says:"
"2044",""
"2045","“What might your name be?”"
"2046",""
"2047","“Sarah Williams.”"
"2048",""
"2049","“Where ’bouts do you live? In this neighborhood?’"
"2050",""
"2051","“No’m. In Hookerville, seven mile below. I’ve walked all the way and"
"2052","I’m all tired out.”"
"2053",""
"2054","“Hungry, too, I reckon. I’ll find you something.”"
"2055",""
"2056","“No’m, I ain’t hungry. I was so hungry I had to stop two miles below"
"2057","here at a farm; so I ain’t hungry no more. It’s what makes me so late."
"2058","My mother’s down sick, and out of money and everything, and I come to"
"2059","tell my uncle Abner Moore. He lives at the upper end of the town, she"
"2060","says. I hain’t ever been here before. Do you know him?”"
"2061",""
"2062","“No; but I don’t know everybody yet. I haven’t lived here quite two"
"2063","weeks. It’s a considerable ways to the upper end of the town. You"
"2064","better stay here all night. Take off your bonnet.”"
"2065",""
"2066","“No,” I says; “I’ll rest a while, I reckon, and go on. I ain’t afeared"
"2067","of the dark.”"
"2068",""
"2069","She said she wouldn’t let me go by myself, but her husband would be in"
"2070","by-and-by, maybe in a hour and a half, and she’d send him along with"
"2071","me. Then she got to talking about her husband, and about her relations"
"2072","up the river, and her relations down the river, and about how much"
"2073","better off they used to was, and how they didn’t know but they’d made a"
"2074","mistake coming to our town, instead of letting well alone—and so on and"
"2075","so on, till I was afeard _I_ had made a mistake coming to her to find"
"2076","out what was going on in the town; but by-and-by she dropped on to pap"
"2077","and the murder, and then I was pretty willing to let her clatter right"
"2078","along. She told about me and Tom Sawyer finding the six thousand"
"2079","dollars (only she got it ten) and all about pap and what a hard lot he"
"2080","was, and what a hard lot I was, and at last she got down to where I was"
"2081","murdered. I says:"
"2082",""
"2083","“Who done it? We’ve heard considerable about these goings on down in"
"2084","Hookerville, but we don’t know who ’twas that killed Huck Finn.”"
"2085",""
"2086","“Well, I reckon there’s a right smart chance of people _here_ that’d"
"2087","like to know who killed him. Some think old Finn done it himself.”"
"2088",""
"2089","“No—is that so?”"
"2090",""
"2091","“Most everybody thought it at first. He’ll never know how nigh he come"
"2092","to getting lynched. But before night they changed around and judged it"
"2093","was done by a runaway nigger named Jim.”"
"2094",""
"2095","“Why _he_—”"
"2096",""
"2097","I stopped. I reckoned I better keep still. She run on, and never"
"2098","noticed I had put in at all:"
"2099",""
"2100","“The nigger run off the very night Huck Finn was killed. So there’s a"
"2101","reward out for him—three hundred dollars. And there’s a reward out for"
"2102","old Finn, too—two hundred dollars. You see, he come to town the morning"
"2103","after the murder, and told about it, and was out with ’em on the"
"2104","ferry-boat hunt, and right away after he up and left. Before night they"
"2105","wanted to lynch him, but he was gone, you see. Well, next day they"
"2106","found out the nigger was gone; they found out he hadn’t ben seen sence"
"2107","ten o’clock the night the murder was done. So then they put it on him,"
"2108","you see; and while they was full of it, next day, back comes old Finn,"
"2109","and went boo-hooing to Judge Thatcher to get money to hunt for the"
"2110","nigger all over Illinois with. The judge gave him some, and that"
"2111","evening he got drunk, and was around till after midnight with a couple"
"2112","of mighty hard-looking strangers, and then went off with them. Well, he"
"2113","hain’t come back sence, and they ain’t looking for him back till this"
"2114","thing blows over a little, for people thinks now that he killed his boy"
"2115","and fixed things so folks would think robbers done it, and then he’d"
"2116","get Huck’s money without having to bother a long time with a lawsuit."
"2117","People do say he warn’t any too good to do it. Oh, he’s sly, I reckon."
"2118","If he don’t come back for a year he’ll be all right. You can’t prove"
"2119","anything on him, you know; everything will be quieted down then, and"
"2120","he’ll walk in Huck’s money as easy as nothing.”"
"2121",""
"2122","“Yes, I reckon so, ’m. I don’t see nothing in the way of it. Has"
"2123","everybody quit thinking the nigger done it?”"
"2124",""
"2125","“Oh, no, not everybody. A good many thinks he done it. But they’ll get"
"2126","the nigger pretty soon now, and maybe they can scare it out of him.”"
"2127",""
"2128","“Why, are they after him yet?”"
"2129",""
"2130","“Well, you’re innocent, ain’t you! Does three hundred dollars lay"
"2131","around every day for people to pick up? Some folks think the nigger"
"2132","ain’t far from here. I’m one of them—but I hain’t talked it around. A"
"2133","few days ago I was talking with an old couple that lives next door in"
"2134","the log shanty, and they happened to say hardly anybody ever goes to"
"2135","that island over yonder that they call Jackson’s Island. Don’t anybody"
"2136","live there? says I. No, nobody, says they. I didn’t say any more, but I"
"2137","done some thinking. I was pretty near certain I’d seen smoke over"
"2138","there, about the head of the island, a day or two before that, so I"
"2139","says to myself, like as not that nigger’s hiding over there; anyway,"
"2140","says I, it’s worth the trouble to give the place a hunt. I hain’t seen"
"2141","any smoke sence, so I reckon maybe he’s gone, if it was him; but"
"2142","husband’s going over to see—him and another man. He was gone up the"
"2143","river; but he got back to-day, and I told him as soon as he got here"
"2144","two hours ago.”"
"2145",""
"2146","I had got so uneasy I couldn’t set still. I had to do something with my"
"2147","hands; so I took up a needle off of the table and went to threading it."
